OBJECTID,CODI_AJB,CODI_INE,GRUP_TVIA,T_Via,Desc_Via,N_Carrer,N_CarrerC,N_CarrerC2,NOM_indexOnomastic,DATA_APROV,NOTES_DATA,ParaulaClau_1,ParaulaClau_2,ParaulaClau_3,PAGINA_WIKIPEDIA,BIOGRAFIA_CAT,PAGINA_WIKIPEDIA2
1155,113506,01295,CARRERS,C,Carrer,Escultors Claperós,C dels Escultors Claperós,Carrer Escultors Claperós,"Claperós, Antoni / Claperós, Joan",07/07/1942,,Ésser viu,Home,Escultura,#N/A,"Antoni Claperós (Barcelona, ? - 1460) i Joan Claperós (? - 1467), fill d'Antoni Claperós. Escultors i mestres d'obra. Treballaren en l'obra de la catedral de Barcelona.",#N/A
1157,113700,01297,PLACES,Pl,Plaça,Isop,Pl d'Isop,Plaça Isop,Isop,28/04/1956,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Isop,Isop (segle VI aC). Fabulista grec.,https://ca.wikipedia.org/wiki/Isop
1159,113903,01299,CARRERS,C,Carrer,Espalter,C d'Espalter,Carrer Espalter,"Espalter i Rosas, Joaquim",,Abans de 1865,Ésser viu,Home,Propietat,,"Joaquim Espalter i Rosas. Fabricant barceloní que a la darreria del segle XVIII (1798) va obrir el carrer i li va donar el seu cognom. Segons J. Amades, el carrer pogué prendre el nom d'un metge molt famós també anomenat Joaquim Espalter.",
1165,114509,01305,GRANS VIES,Av,Avinguda,Espasa,Av d'Espasa,Avinguda Espasa,"Espasa i Anguera, Josep",,Abans de 1911,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Josep_Espasa_i_Anguera,"Josep Espasa i Anguera (la Pobla de Cérvoles, 1840 - Barcelona, 1911). Editor. Amb el seu germà Pau, crearen l'empresa Espasa Germans (Espasa-Calpe).",https://ca.wikipedia.org/wiki/Josep_Espasa_i_Anguera
1168,114804,01308,CARRERS,C,Carrer,Espiell,C d'Espiell,Carrer Espiell,"Espiell i Vilasau, Josep",,Abans de 1863,Ésser viu,Home,Propietat,,"Josep Espiell i Vilasau (Barcelona, 1782 - 1863). Propietari de l'heretat la Porrasa, que havia estat propietat de Josep de Silva, marquès de Santa Cruz. Concedí al seu germà Miquel l'administració dels seus béns. Heretaren la propietat, el 1863, els seus nebots Francesc i Ramon Espiell i Ruiz.",
1169,114906,01310,CARRERS,Ptge,Passatge,Espiell,Ptge d'Espiell,Passatge Espiell,"Espiell i Vilasau, Josep",,,Ésser viu,Home,Propietat,,Per la mateixa dedicació que el carrer d'Espiell.,
1173,115308,01314,CARRERS,Ptge,Passatge,Espíria,Ptge d'Espíria,Passatge Espíria,"Gibert i Mornau, Espiridió",07/07/1942,,Ésser viu,Home,Propietat,,"Espiridió Gibert i Mornau (1830 - 1889). Terratinent. Molt probablement relacionat amb els cens a favor de Salvador Prat-Gibert i Reixach, i Llorenç Serra i Clarós, sobre propietats d'aquest passatge. És la forma femenina d'Espiridió.",
1176,115603,01317,CARRERS,C,Carrer,Espronceda,C d'Espronceda,Carrer Espronceda,"Espronceda y Delgado, José",,,Ésser viu,Home,Política,,"José de Espronceda y Delgado (Almendralejo, 1808 - Madrid, 1842). Poeta i polític.",
1185,116504,01339,CARRERS,C,Carrer,Pere Sala,C de Pere Sala,Carrer Pere Sala,"Sala i Vilaret, Pere",20/12/1979,,Ésser viu,Home,Filosofia,,"Pere Sala i Vilaret (Vic, 1839 - Barcelona, 1916). Filòsof i periodista. Director d'El Diluvio durant quinze anys.",
1188,116901,01343,CARRERS,C,Carrer,Esteve Terradas,C d'Esteve Terradas,Carrer Esteve Terradas,"Terradas i Illa, Esteve",16/05/1950,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Esteve_Terradas_i_Illa,"Esteve Terradas i Illa (Barcelona, 1883 - Madrid, 1950). Matemàtic, enginyer industrial i de camins. Professor de les universitats de Saragossa, Barcelona i de l'Escola Aeronàutica de Madrid. Director d'obres dels ferrocarrils de la Mancomunitat de Catalunya. Director de la Compañía Telefónica Nacional de España i de l'Institut d'Estudis Catalans. Membre del Consell Superior d'Investigacions Científiques.",https://ca.wikipedia.org/wiki/Esteve_Terradas_i_Illa
1189,117100,01344,CARRERS,C,Carrer,Esteràs,C d'Esteràs,Carrer Esteràs,"Esteràs i Font, Elisa",07/07/1942,,Ésser viu,Dona,Propietat,,"Elisa Esteràs i Font (Valladolid, 1867 - Barcelona, 1935). Filla de Nicolàs Esteràs i Sánchez, tinent coronel graduat, i de Montserrat Font i Riera, propietària dels terrenys.",
1197,118000,01354,CARRERS,C,Carrer,Euclides,C d'Euclides,Carrer Euclides,Euclides,,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Euclides,Euclides (segle III aC). Matemàtic grec.,https://ca.wikipedia.org/wiki/Euclides
1198,118102,01355,CARRERS,C,Carrer,Eugeni d'Ors,C d'Eugeni d'Ors,Carrer Eugeni d'Ors,"Ors i Rovira, Eugeni d'",25/04/1958,,Ésser viu,Home,Llengua i Literatura,,"Eugeni d'Ors i Rovira (Barcelona, 1881 - Vilanova i la Geltrú, 1954). Escriptor, filòsof i advocat. Doctor en filosofia i lletres. Director d'instrucció pública de la Mancomunitat i secretari general de l'Institut d'Estudis Catalans.",
1202,118408,01359,PLACES,Pl,Plaça,Eusebi Güell,Pl d'Eusebi Güell,Plaça Eusebi Güell,"Güell i Bacigalupi, Eusebi",14/04/1909,,Ésser viu,Home,Industrial,https://ca.wikipedia.org/wiki/Eusebi_Güell_i_Bacigalupi,"Eusebi Güell i Bacigalupi (Barcelona, 1846 - 1918). Industrial, economista i publicista. Regidor de Barcelona (1875), diputat provincial (1878) i senador. Protector i mecenes de l'arquitecte Gaudí i propulsor de la cultura catalana. Fou president del Centre Català, així com president i mantenidor dels Jocs Florals (1900). Acadèmic de l'Acadèmia de Sant Jordi de Barcelona. El 1908 se li concedí el comtat de Güell. Propietari dels terrenys on sol·licità l'obertura d'una via que comuniqués el monestir de Pedralbes amb la Diagonal (avinguda de Pedralbes).",https://ca.wikipedia.org/wiki/Eusebi_Güell_i_Bacigalupi
1203,118500,01360,CARRERS,C,Carrer,Eusebi Planas,C d'Eusebi Planas,Carrer Eusebi Planas,"Planas i Franquesa, Eusebi",05/09/1907,,Ésser viu,Home,Arts Plàstiques,https://ca.wikipedia.org/wiki/Eusebi_Planas_i_Franquesa,"Eusebi Planas i Franquesa (Barcelona, 1833 - 1897). Dibuixant, aquarel·lista i litògraf.",https://ca.wikipedia.org/wiki/Eusebi_Planas_i_Franquesa
1205,118703,01362,CARRERS,C,Carrer,Evarist Arnús,C d'Evarist Arnús,Carrer Evarist Arnús,"Arnús i de Ferrer, Evarist",05/09/1907,,Ésser viu,Home,Economia,https://ca.wikipedia.org/wiki/Evarist_Arnús_i_de_Ferrer,"Evarist Arnús i de Ferrer (Barcelona, 1820 - 1890). Financer. Fundador del Teatre Líric de Barcelona (1881), president de la Casa de Caritat i un dels promotors de l'Exposició Universal de 1888.",https://ca.wikipedia.org/wiki/Evarist_Arnús_i_de_Ferrer
1209,118907,01367,CARRERS,C,Carrer,Ezequiel Boixet,C d'Ezequiel Boixet,Carrer Ezequiel Boixet,"Boixet i Castells, Ezequiel",21/12/1921,,Ésser viu,Home,Periodisme,https://ca.wikipedia.org/wiki/Ezequiel_Boixet_i_Castells,"Ezequiel Boixet i Castells (Lleida, 1849 - Barcelona, 1914). Periodista i narrador conegut amb el pseudònim de Juan Buscón. Director de La Vanguardia.",https://ca.wikipedia.org/wiki/Ezequiel_Boixet_i_Castells
1219,120308,01383,CARRERS,C,Carrer,Francesc Carbonell,C de Francesc Carbonell,Carrer Francesc Carbonell,"Carbonell i Bravo, Francesc",13/11/1981,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Francesc_Carbonell_i_Bravo,"Francesc Carbonell i Bravo (Barcelona, 1758 - 1837). Científic, filòsof, metge, químic i farmacèutic.",https://ca.wikipedia.org/wiki/Francesc_Carbonell_i_Bravo
1220,120400,01384,CARRERS,C,Carrer,Farnés,C de Farnés,Carrer Farnés,"Farnés i Badó, Sebastià",28/01/1959,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Sebastià_Farnés_i_Badó,"Sebastià Farnés i Badó (Sant Feliu de Codines, 1854 - Barcelona, 1934). Advocat, taquígraf i escriptor. Originàriament el carrer es dedicà a Francesc Farnés i Rubió, actuari d'assegurances i propietari.",https://ca.wikipedia.org/wiki/Sebastià_Farnés_i_Badó
1222,120603,01388,CARRERS,C,Carrer,Fastenrath,C de Fastenrath,Carrer Fastenrath,"Fastenrath, Johannes",25/04/1945,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Johannes_Fastenrath,"Johannes Fastenrath (Remscheid, 1839 - Colònia, 1908). Hispanista. Membre corresponent de l'Acadèmia Espanyola, de l'Acadèmia de la Història i de l'Acadèmia de San Fernando. Escriví obres en alemany, castellà, català i francès.",https://ca.wikipedia.org/wiki/Johannes_Fastenrath
1225,120851,01391,CARRERS,C,Carrer,Federico García Lorca,C de Federico García Lorca,Carrer Federico García Lorca,"García Lorca, Federico",22/06/1992,,Ésser viu,Home,Poesia,https://ca.wikipedia.org/wiki/Federico_García_Lorca,"Federico García Lorca (Fuente Vaqueros, 1898 - Víznar, 1936). Poeta i dramaturg. Com a director teatral, va crear un teatre universitari ambulant.",https://ca.wikipedia.org/wiki/Federico_García_Lorca
1226,120909,01392,CARRERS,C,Carrer,Alexandre Galí,C d'Alexandre Galí,Carrer Alexandre Galí,"Galí i Coll, Alexandre",28/10/1983,,Ésser viu,Home,Educació,https://ca.wikipedia.org/wiki/Alexandre_Galí_i_Coll,"Alexandre Galí i Coll (Camprodon, 1886 - Barcelona, 1969). Pedagog i historiador. Director de l'Escola Vallparadís de Terrassa (1910), administrador general de l'Escola Industrial (1917) i director dels estudis normals de la Mancomunitat (1920) i de l'Escola Montessori (1922). Com a funcionari del Consell de Pedagogia, organitzà les escoles d'estiu (1915 - 1936). Fundà amb un grup de mestres l'Escola Blanquerna el 1924. Fou nomenat secretari general del Consell de Cultura de la Generalitat de Catalunya. Exiliat des de 1939 fins a 1943. Retornà a Barcelona i es dedicà a treballs editorials i d'història de la cultura. Fou membre de l'Institut d'Estudis Catalans (1968).",https://ca.wikipedia.org/wiki/Alexandre_Galí_i_Coll
1227,121005,01393,GRANS VIES,Av,Avinguda,Frederic Rahola,Av de Frederic Rahola,Avinguda Frederic Rahola,"Rahola i Tremols, Frederic",03/11/1929,,Ésser viu,Home,Llengua i Literatura,,"Frederic Rahola i Tremols (Cadaqués, 1858 - 1919). Escriptor, jurisconsult i economista.",
1228,121107,01394,PLACES,Pl,Plaça,Frederic Soler,Pl de Frederic Soler,Plaça Frederic Soler,"Soler i Hubert, Frederic",05/09/1907,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Frederic_Soler_i_Hubert,"Frederic Soler i Hubert (Barcelona, 1839 - 1895). Poeta i dramaturg conegut amb el nom de Serafí Pitarra. Fundador del Teatre Català.",https://ca.wikipedia.org/wiki/Frederic_Soler_i_Hubert
1229,121209,01395,CARRERS,C,Carrer,Feijoo,C de Feijoo,Carrer Feijoo,"Feijoo y Montenegro, Benito Jerónimo",,,Ésser viu,Home,Religió,,"Benito Jerónimo Feijoo y Montenegro (Casdemiro, 1676 - Oviedo, 1764). Escriptor, erudit i monjo benedictí. Professor de teologia al monestir de San Vicente (Monforte de Lemos) i a la Universitat d'Oviedo.",
1232,121402,01398,CARRERS,C,Carrer,Felip II,C de Felip II,Carrer Felip II,Felip II,25/04/1945,,Ésser viu,Home,Monarquia,https://ca.wikipedia.org/wiki/Felip_II,"Felip II (Valladolid, 1527 - El Escorial, 1598). Rei de Castella, de Catalunya-Aragó i de Portugal. El 7 de febrer de 1564 arribà a Valldonzella i l'endemà entrà a Barcelona com a rei dels catalans. Fill de Carles V i d'Isabel de Portugal.",https://ca.wikipedia.org/wiki/Felip_II
1233,121457,01399,CARRERS,C,Carrer,Felip Bertran i Güell,C de Felip Bertran i Güell,Carrer Felip Bertran i Güell,"Bertran i Güell, Felip",08/02/1967,,Ésser viu,Home,Industrial,,"Felip Bertran i Güell (Barcelona, 1901 - 1965). Industrial. Impulsà la reconstrucció del monestir de Santa Maria de Poblet.",
1234,121504,01401,CARRERS,C,Carrer,Felip Gil,C de Felip Gil,Carrer Felip Gil,"Gil i Julià, Felip",,Abans de 1886,Ésser viu,Home,Propietat,,"Felip Gil i Julià (Barcelona, 1790 - 1848). Pilot de Marina. El 1857 Josep Lluís i Oliva establí un terreny en aquest indret a favor de Felip Gil. La seva muller, Manuela Martínez i Mena, el donà al seu fill Felip Gil Martínez Mena el 1886.",
1235,121606,01402,CARRERS,C,Carrer,Felip de Malla,C de Felip de Malla,Carrer Felip de Malla,"Malla, Felip de",27/07/1960,,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Felip_de_Malla,"Felip de Malla (Barcelona, 1370 - 1431). Escriptor, orador, polític i eclesiàstic. Estudià teologia a París, on treballà com a professor fins al 1407. S'instal·là a Barcelona el 1408 i prengué possessió dels càrrecs que se li havien atorgat: canonge de la seu i rector del Pi (1407). Intervingué decisivament en la successió de la corona a favor de Ferran d'Antequera i en la liquidació del cisma d'occident.",https://ca.wikipedia.org/wiki/Felip_de_Malla
1236,121708,01403,CARRERS,C,Carrer,Felipe de Paz,C de Felipe de Paz,Carrer Felipe de Paz,"Paz i de Solà, Felipe de",19/11/1929,,Ésser viu,Home,Militar,,"Felipe de Paz i de Solà (Terrassa, 1742 - Barcelona, 1818) Militar. Mariscal de camp (1809) i tinent general (1814). Fou coronel comandant d'enginyers durant l'època de l'ocupació francesa, a la qual s'oposà. Per aquest motiu, va ser perseguit i vexat. L'abril de 1809, marxà a Tarragona, on continuà la lluita contra Napoleó. Cavaller de la Gran Creu de Sant Hermenegild.",
1237,121800,01404,CARRERS,Ptge,Passatge,Felipe de Paz,Ptge de Felipe de Paz,Passatge Felipe de Paz,"Paz i de Solà, Felipe de",,,Ésser viu,Home,Militar,,Per la mateixa dedicació que el carrer de Felip de Paz.,
1238,121901,01405,CARRERS,C,Carrer,Feliu,C de Feliu,Carrer Feliu,"Casanova i Casteràs, Feliu",,Abans de 1900,Ésser viu,Home,Propietat,,"Feliu Casanova i Casteràs (Barcelona, 1872 - 1960). Propietari dels terrenys de l'indret. El fet que en urbanitzar els terrenys es dediqués un carrer a la seva mare, Carmen Casteràs, fa pensar que aquest carrer fos dedicat al seu pare, Feliu Casanova. S'ha de tenir en compte que se li dedicà el carrer de Feliu, al Guinardó, quan es casà amb la filla del propietari dels terrenys de l'indret.",
1239,122008,01406,CARRERS,Ptge,Passatge,Feliu,Ptge de Feliu,Passatge Feliu,"Homs, Feliu",28/01/1959,,Ésser viu,Home,Propietat,,"Feliu Homs. Propietari del terreny, que abans pertanyia a Pere Brasó. En fou hereu Bonaventura Homs i Mari (1836 - 1876).",
1240,122100,01407,CARRERS,C,Carrer,Feliu Casanova,C de Feliu Casanova,Carrer Feliu Casanova,"Casanova i Casteràs, Feliu",,,Ésser viu,Home,Propietat,,"Feliu Casanova i Casteràs (Barcelona, 1872 - 1960). Propietari dels terrenys de l'indret. El fet que en urbanitzar els terrenys es dediqués un carrer a la seva mare, Carmen Casteràs, fa pensar que aquest carrer fos dedicat al seu pare, Feliu Casanova. S'ha de tenir en compte que se li dedicà el carrer de Feliu, al Guinardó, quan es casà amb la filla del propietari dels terrenys de l'indret.",
1241,122201,01408,CARRERS,Ptge,Passatge,Feliu Casanova,Ptge de Feliu Casanova,Passatge Feliu Casanova,"Casanova i Casteràs, Feliu",,,Ésser viu,Home,Propietat,,Per la mateixa dedicació que el carrer de Feliu Casanova.,
1242,122303,01409,CARRERS,C,Carrer,Feliu i Codina,C de Feliu i Codina,Carrer Feliu i Codina,"Feliu i Codina, Josep",05/09/1907,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Josep_Feliu_i_Codina,"Josep Feliu i Codina (Barcelona, 1845 - Madrid, 1897). Dramaturg i periodista.",https://ca.wikipedia.org/wiki/Josep_Feliu_i_Codina
1243,122405,01410,CARRERS,C,Carrer,Fèlix Macià,C de Fèlix Macià,Carrer Fèlix Macià,"Macià i Bonaplata, Fèlix",,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Fèlix_Macià_i_Bonaplata,"Fèlix Macià i Bonaplata (Barcelona, 1838 - 1891). Enginyer i escriptor. Alcalde de Barcelona (1890).",https://ca.wikipedia.org/wiki/Fèlix_Macià_i_Bonaplata
1246,122700,01413,CARRERS,C,Carrer,Fernán Caballero,C de Fernán Caballero,Carrer Fernán Caballero,"Böhl, Cecilia",28/04/1956,,Ésser viu,Dona,Llengua i Literatura,,"Cecilia Böhl (Morges, 1796 - Sevilla, 1877). Escriptora coneguda amb el pseudònim de Fernán Caballero.",
1247,122802,01414,CARRERS,C,Carrer,Fernández Duró,C de Fernández Duró,Carrer Fernández Duró,"Fernández Duró, Jesús",10/12/1908,,Ésser viu,Home,Exploració,,"Jesús Fernández Duró (?, 1880 - Sant Joan Lohitzune, 1908). Aeronauta. Fou el primer que intentà realitzar la travessia longitudinal del Mediterrani.",
1248,122904,01415,CARRERS,C,Carrer,Ferran,C de Ferran,Carrer Ferran,Ferran VII,07/03/1939,,Ésser viu,Home,Monarquia,https://ca.wikipedia.org/wiki/Ferran_VII,"El carrer es dedicà, inicialment, a Ferran VII (Sant Ildefons, 1784 - Madrid, 1833), rei d'Espanya, amb motiu de la seva visita a Barcelona i de l'obertura del vial. L'Ajuntament, l'1 de març de 1910, acordà canviar el nom de Ferran VII pel de Ferran, nom que féu que el carrer deixés d'honorar el rei absolutista.",https://ca.wikipedia.org/wiki/Ferran_VII
1249,123000,01416,CARRERS,C,Carrer,Ferran Agulló,C de Ferran Agulló,Carrer Ferran Agulló,"Agulló i Vidal, Ferran",16/05/1939,,Ésser viu,Home,Poesia,https://ca.wikipedia.org/wiki/Ferran_Agulló_i_Vidal,"Ferran Agulló i Vidal (Girona, 1863 - Santa Coloma de Farners, 1933). Poeta, periodista i comediògraf.",https://ca.wikipedia.org/wiki/Ferran_Agulló_i_Vidal
1250,123204,01417,PLACES,Pl,Plaça,Ferran Casablancas,Pl de Ferran Casablancas,Plaça Ferran Casablancas,"Casablancas i Planell, Ferran",08/02/1953,,Ésser viu,Home,Industrial,https://ca.wikipedia.org/wiki/Ferran_Casablancas_i_Planell,"Ferran Casablancas i Planell (Sabadell, 1874 - Barcelona, 1960). Industrial tèxtil. Inventor d'un dispositiu per a la filatura del cotó, patentat en nombrosos països i adoptat per les principals fàbriques d'arreu del món.",https://ca.wikipedia.org/wiki/Ferran_Casablancas_i_Planell
1251,123306,01418,CARRERS,C,Carrer,Ferran Junoy,C de Ferran Junoy,Carrer Ferran Junoy,"Junoy i Vernet, Ferran",07/07/1942,,Ésser viu,Home,Industrial,,"Ferran Junoy i Vernet (Girona, 1862 - Barcelona, 1932). Enginyer. Director general dels tallers de La Maquinista Terrestre i Marítima (1917) instal·lats al carrer.",
1252,123408,01419,PLACES,Pl,Plaça,Lesseps,Pl de Lesseps,Plaça Lesseps,"Lesseps i Crevinyi, Ferdinand-Marie de",,,Ésser viu,Home,Política,,"Ferdinand-Marie de Lesseps i Crevinyi (Versalles, 1805 - castell de la Chênaie, 1894). Diplomàtic. Cònsol de França a Barcelona. Intervingué a favor de la ciutat durant el bombardeig de Van-Halen (1842).  Lloc conegut popularment amb el nom de Josepets, pel convent dels carmelitans de Santa Maria de Gràcia que s'anomenava dels Josepets, fundat l'any 1626.",
1253,123601,01420,CARRERS,C,Carrer,Fernando Poo,C de Fernando Poo,Carrer Fernando Poo,"Pó, Fernão do",25/04/1945,,Ésser viu,Home,Exploració,https://ca.wikipedia.org/wiki/Fernão_do_Pó,"Illa de Guinea Equatorial. El nom correspon a Fernão do Pó, navegant portuguès que descobrí l'illa l'any 1472. L'illa fou cedida a Espanya l'any 1778 per conveni entre la reina de Portugal, Maria Pia, i el rei Carles III d'Espanya.",https://ca.wikipedia.org/wiki/Fernão_do_Pó
1254,123703,01421,CARRERS,C,Carrer,Pere Duran Farell,C de Pere Duran Farell,Carrer Pere Duran Farell,"Duran Farell, Pere",02/11/2011,,Ésser viu,Home,Empresariat,https://ca.wikipedia.org/wiki/Pere_Duran_Farell,"Enginyer i empresari. Nasqué a Caldes de Montbui, el 27 de febrer de 1921. Exercí càrrecs executius o de representació en empreses com Hidroelètrica de Catalunya, La Maquinista Terrestre i Marítima i la Catalana de Gas i electricitat, activant llur modernització. Promotor de la central nuclear de Vandellòs i de Gas Natural S.A. President de la junta general d'accionistes de Catalana de Gas i Electricitat. De 1991 a 1993 fou president del Patronat del Museu Nacional d'Art de Catalunya. Membre del Club de Roma. El 1998 rebé la Creu de l'Orde d'Isabel la Catòlica. Va morir a Barcelona, l'11 de juliol de 1999.",https://ca.wikipedia.org/wiki/Pere_Duran_Farell
1255,123805,01422,CARRERS,C,Carrer,Ferran Puig,C de Ferran Puig,Carrer Ferran Puig,"Puig i Gibert, Ferran",21/01/1915,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Ferran_Puig_i_Gibert,"Ferran Puig i Gibert (Girona, 1815 - Barcelona, 1901). Industrial i polític. Fundador l'any 1838 de la indústria que esdevindria Fabra & Coats. Propietari de la muntanya del Putget, on està situat el carrer. Regidor de l'Ajuntament de Barcelona (1855) i senador per Girona (1881 - 1894).",https://ca.wikipedia.org/wiki/Ferran_Puig_i_Gibert
1256,123907,01423,PLACES,Pl,Plaça,Ferran Reyes,Pl de Ferran Reyes,Plaça Ferran Reyes,"Reyes Garrido, Fernando",28/07/1954,,Ésser viu,Home,Industrial,https://ca.wikipedia.org/wiki/Fernando_Reyes_Garrido,"Fernando Reyes Garrido (Granada, 1877 - Barcelona, 1937). Enginyer industrial. Cap de la divisió de ferrocarrils de Barcelona. Autor del traçat de les línies i director de les obres del metro transversal.",https://ca.wikipedia.org/wiki/Fernando_Reyes_Garrido
1257,124003,01424,CARRERS,C,Carrer,Ferran Valentí,C de Ferran Valentí,Carrer Ferran Valentí,"Valentí, Ferran",27/07/1960,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Ferran_Valentí,"Ferran Valentí (Mallorca, ? - 1476). Humanista i escriptor. Mantingué relacions literàries amb humanistes italians.",https://ca.wikipedia.org/wiki/Ferran_Valentí
1258,124105,01425,CARRERS,C,Carrer,Ferran Valls i Taberner,C de Ferran Valls i Taberner,Carrer Ferran Valls i Taberner,"Valls i Taberner, Ferran",23/04/1945,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Ferran_Valls_i_Taberner,"Ferran Valls i Taberner (Barcelona, 1888 - 1942). Jurista i historiador. Llicenciat en filosofia i lletres a Barcelona i doctorat a Madrid. Catedràtic d'història d'Espanya a Múrcia. Membre adjunt i numerari de l'Institut d'Estudis Catalans. Director de l'Arxiu de la Corona d'Aragó i de la Biblioteca Universitària de Barcelona. Diputat per la Lliga al Parlament de Catalunya (1932) i a les Corts espanyoles (1935).",https://ca.wikipedia.org/wiki/Ferran_Valls_i_Taberner
1259,124309,01427,CARRERS,C,Carrer,Ferrer Bassa,C de Ferrer Bassa,Carrer Ferrer Bassa,"Bassa, Ferrer",27/07/1960,,Ésser viu,Home,Pintura,https://ca.wikipedia.org/wiki/Ferrer_Bassa,"Ferrer Bassa (Barcelona, segle XIV). Pintor. Pintà la capella de Sant Miquel al claustre del monestir de Pedralbes (1346). Fou la primera figura de vàlua internacional de la pintura catalana.",https://ca.wikipedia.org/wiki/Ferrer_Bassa
1260,124400,01428,CARRERS,C,Carrer,Ferrer de Blanes,C de Ferrer de Blanes,Carrer Ferrer de Blanes,"Ferrer, Jaume",05/09/1907,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Jaume_Ferrer,"Mossèn Jaume Ferrer, anomenat de Blanes per haver-hi residit molts anys (Vidreres, 1445 - Blanes, 1523). Cosmògraf, escriptor i mercader. Els Reis Catòlics li demanaren consell sobre els projectes de Colom, ja que tenia notables coneixements sobre la línia alexandrina de demarcació de les zones d'influència dels descobriments de Castella i Portugal.",https://ca.wikipedia.org/wiki/Jaume_Ferrer
1261,124502,01429,CARRERS,Ptge,Passatge,Ferrer i Vidal,Ptge de Ferrer i Vidal,Passatge Ferrer i Vidal,"Ferrer i Vidal, Josep",29/03/1922,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Josep_Ferrer_i_Vidal,"Josep Ferrer i Vidal (Vilanova i la Geltrú, 1817 - Barcelona, 1893). Economista i fabricant de teixits. Diputat i senador del Partit Conservador.",https://ca.wikipedia.org/wiki/Josep_Ferrer_i_Vidal
1265,125108,01436,CARRERS,C,Carrer,Figueres,C de Figueres,Carrer Figueres,"Figueres i Rosés, Eusebi",,Abans de 1900,Ésser viu,Home,Política,,Eusebi Figueres i Rosés (1815 - 1879). Alcalde de Sant Gervasi i propietari de l'indret.,
1266,125301,01437,PLACES,Pl,Plaça,Figuerola,Pl de Figuerola,Plaça Figuerola,"Figuerola i Ballester, Laureà",,Abans de 1885,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Laureà_Figuerola_i_Ballester,"Laureà Figuerola i Ballester (Calaf, 1816 - Madrid, 1903). Escriptor i economista. Ministre de Finances el 1869 i de Gràcia i Justícia en els governs de Serrano i de Prim. Presidí l'acte d'inici de l'enderroc de la ciutadella barcelonina bastida per Felip V. Fou fundador de l'Escola Normal de Barcelona.",https://ca.wikipedia.org/wiki/Laureà_Figuerola_i_Ballester
1273,126100,01445,CARRERS,C,Carrer,Fisas,C de Fisas,Carrer Fisas,"Fisas i Torns, Francesc",,,Ésser viu,Home,Propietat,,Francesc Fisas i Torns (1803 - 1843). Pagès i propietari dels terrenys de l'indret i de la masia del seu nom.,
1276,126406,01449,PLACES,Pl,Plaça,Flandes,Pl de Flandes,Plaça Flandes,"Barre i de Taberner, Josep de la",,,Ésser viu,Home,Propietat,,"Títol de Josep de la Barre i de Taberner  (Madrid, ? - 1855). Baró de la Barre de Flandes i de Pechmann. Propietari dels terrenys. Heretat Mas Falcó.",
1280,126803,01453,CARRERS,Ptge,Passatge,Flaugier,Ptge de Flaugier,Passatge Flaugier,"Flaugier, Josep Bernat",29/03/1922,,Ésser viu,Home,Pintura,https://ca.wikipedia.org/wiki/Josep_Bernat_Flaugier,"Josep Bernat Flaugier (Lo Martegne, 1757 - Barcelona, 1813). Pintor. S'establí a Barcelona vers el 1773. Fou director de l'Escola de Belles Arts de Llotja (1809).",https://ca.wikipedia.org/wiki/Josep_Bernat_Flaugier
1289,127704,01462,CARRERS,C,Carrer,Floridablanca,C de Floridablanca,Carrer Floridablanca,"Moñino y Redondo, José",,Abans de 1900,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/José_Moñino_y_Redondo,"José Moñino y Redondo (Múrcia, 1728 - Sevilla, 1808). Estadista. Famós pel cens que ordenà fer a l'Estat espanyol l'any 1787. Posseïa el títol de comte de Floridablanca.",https://ca.wikipedia.org/wiki/José_Moñino_y_Redondo
